id,title,description,availability,condition,price,link,image_link,brand,product_type,custom_label_0
DG99-3210,Stanley Mug Café to-go 236ml — 18.600 puntos,Stanley Mug Café to-go 236ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Stanley/DG99-3210/DG99-3210,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34441219&catalogid=132097&languageid=es_ar&imagetype=master1,Stanley,Coffee Break,18.600 puntos
DG99-3234,Stanley Mate Stanley Negro — 23.600 puntos,Stanley Mate Stanley Negro,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Stanley/DG99-3234/DG99-3234,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34607619&catalogid=132097&languageid=es_ar&imagetype=master1,Stanley,Coffee Break,23.600 puntos
DG99-3202,Peabody Espumador de leche — 23.900 puntos,Peabody Espumador de leche,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Peabody/DG99-3202/DG99-3202,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34435587&catalogid=132097&languageid=es_ar&imagetype=master1,Peabody,Coffee Break,23.900 puntos
DG99-3236,Stanley Travel Mug Café To Go 236ml — 24.300 puntos,Stanley Travel Mug Café To Go 236ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Stanley/DG99-3236/DG99-3236,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34608131&catalogid=132097&languageid=es_ar&imagetype=master1,Stanley,Coffee Break,24.300 puntos
DG99-3237,Stanley Termo de Alimentos 354 ml — 26.400 puntos,Stanley Termo de Alimentos 354 ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Stanley/DG99-3237/DG99-3237,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34608387&catalogid=132097&languageid=es_ar&imagetype=master1,Stanley,Coffee Break,26.400 puntos
DG99-3238,Stanley Botella Go Flip 700ml — 26.600 puntos,Stanley Botella Go Flip 700ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Stanley/DG99-3238/DG99-3238,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34591235&catalogid=132097&languageid=es_ar&imagetype=master1,Stanley,Coffee Break,26.600 puntos
DG99-3240,Stanley Yerbera 500gr Negro — 28.400 puntos,Stanley Yerbera 500gr Negro,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Stanley/DG99-3240/DG99-3240,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34591747&catalogid=132097&languageid=es_ar&imagetype=master1,Stanley,Coffee Break,28.400 puntos
DG99-3241,Stanley Mug Aerolight 591ml — 29.900 puntos,Stanley Mug Aerolight 591ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Stanley/DG99-3241/DG99-3241,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34592003&catalogid=132097&languageid=es_ar&imagetype=master1,Stanley,Coffee Break,29.900 puntos
DG99-3244,Stanley Mug Everday 710ml — 31.000 puntos,Stanley Mug Everday 710ml,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Stanley/DG99-3244/DG99-3244,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34608643&catalogid=132097&languageid=es_ar&imagetype=master1,Stanley,Coffee Break,31.000 puntos
DG99-3192,Oster Cafetera de filtro — 32.700 puntos,Oster Cafetera de filtro,in stock,new,1.00 ARS,https://www.americanexpress.com/es-ar/rewards/membership-rewards/award/Oster/DG99-3192/DG99-3192,https://www.americanexpress.com/es-ar/rewards/membership-rewards/getcatalogimage.mtw?productid=34428931&catalogid=132097&languageid=es_ar&imagetype=master1,Oster,Coffee Break,32.700 puntos
